Entity,Code,Year,Domestic trips (tourists) per 1000 people
United Kingdom,GBR,2014,1763.715
United Kingdom,GBR,2015,1907.6613
United Kingdom,GBR,2016,1819.4293
United Kingdom,GBR,2017,1826.6306
United Kingdom,GBR,2018,1784.5951
United Kingdom,GBR,2019,1838.6113
Uruguay,URY,2017,1723.1581
Uruguay,URY,2018,1508.297
Uruguay,URY,2019,1714.4963
Venezuela,VEN,2006,403.3269
Venezuela,VEN,2007,389.46277
Venezuela,VEN,2008,505.22958
Venezuela,VEN,2009,446.34448
Venezuela,VEN,2010,429.4964
Venezuela,VEN,2011,454.76794
Venezuela,VEN,2012,414.2797
Venezuela,VEN,2013,528.65436
Venezuela,VEN,2014,493.15643
Venezuela,VEN,2015,359.48575
Venezuela,VEN,2016,408.30847
Venezuela,VEN,2017,413.8279
Vietnam,VNM,2016,313.5519
Vietnam,VNM,2017,379.65375
Vietnam,VNM,2018,406.68253
Vietnam,VNM,2019,454.1814
Vietnam,VNM,2020,296.9518
Vietnam,VNM,2021,194.93573
Zimbabwe,ZWE,1999,1743.4459
Zimbabwe,ZWE,2000,1590.5797
Zimbabwe,ZWE,2001,1420.286
Zimbabwe,ZWE,2002,1069.5354
Zimbabwe,ZWE,2003,955.1306
Zimbabwe,ZWE,2004,976.9848
Zimbabwe,ZWE,2005,943.4952
Zimbabwe,ZWE,2006,979.1176
Zimbabwe,ZWE,2007,963.8919
Zimbabwe,ZWE,2008,950.4912
Zimbabwe,ZWE,2009,954.3517
Zimbabwe,ZWE,2010,489.26096
Zimbabwe,ZWE,2011,706.75183
Zimbabwe,ZWE,2012,713.5894
Zimbabwe,ZWE,2013,574.45654
Zimbabwe,ZWE,2014,576.6556
Zimbabwe,ZWE,2015,672.8395
Zimbabwe,ZWE,2016,656.97046
Zimbabwe,ZWE,2017,617.3099
Zimbabwe,ZWE,2018,584.6989
Zimbabwe,ZWE,2019,791.7494
Zimbabwe,ZWE,2020,303.58023
Zimbabwe,ZWE,2021,429.79892
