Entity,Code,Year,Employment (food and beverage serving activities) per 1000 people
San Marino,SMR,2021,26.649296
Saudi Arabia,SAU,2004,8.9329195
Saudi Arabia,SAU,2005,8.219849
Saudi Arabia,SAU,2006,8.495533
Saudi Arabia,SAU,2007,8.408957
Saudi Arabia,SAU,2008,8.937597
Saudi Arabia,SAU,2009,10.420766
Saudi Arabia,SAU,2010,10.413292
Saudi Arabia,SAU,2011,10.437614
Saudi Arabia,SAU,2012,11.314485
Saudi Arabia,SAU,2013,11.949558
Saudi Arabia,SAU,2014,12.22702
Saudi Arabia,SAU,2015,8.188987
Saudi Arabia,SAU,2016,8.471023
Saudi Arabia,SAU,2017,8.466616
Saudi Arabia,SAU,2018,8.524156
Saudi Arabia,SAU,2019,8.555124
Saudi Arabia,SAU,2020,12.556537
Saudi Arabia,SAU,2021,14.482261
Serbia,SRB,2006,8.659628
Serbia,SRB,2007,7.0635114
Serbia,SRB,2008,8.4684305
Serbia,SRB,2009,7.088936
Serbia,SRB,2010,7.2252173
Serbia,SRB,2011,5.8785515
Serbia,SRB,2012,6.033177
Serbia,SRB,2013,6.528628
Serbia,SRB,2014,7.2773404
Serbia,SRB,2015,9.349025
Serbia,SRB,2016,9.595254
Serbia,SRB,2017,10.12742
Serbia,SRB,2018,11.071016
Serbia,SRB,2019,11.41729
Serbia,SRB,2020,10.206564
Serbia,SRB,2021,9.524761
Sierra Leone,SLE,2007,0.15423033
Sierra Leone,SLE,2008,0.14759818
Sierra Leone,SLE,2009,0.15176095
Sierra Leone,SLE,2010,0.22511539
Sierra Leone,SLE,2011,0.2549759
Sierra Leone,SLE,2012,0.2946118
Sierra Leone,SLE,2013,0.4307333
Sierra Leone,SLE,2014,0.22700855
Sierra Leone,SLE,2015,0.08202572
Sierra Leone,SLE,2017,0.091174684
Sierra Leone,SLE,2018,0.16536732
Sierra Leone,SLE,2019,0.1864088
Sierra Leone,SLE,2020,0.61938506
Sierra Leone,SLE,2021,0.6531569
Slovakia,SVK,2005,4.8174834
Slovakia,SVK,2006,5.5232806
Slovakia,SVK,2007,6.172861
Slovakia,SVK,2008,6.466429
Slovakia,SVK,2009,8.10921
Slovakia,SVK,2010,7.2270026
Slovakia,SVK,2011,8.7919235
Slovakia,SVK,2012,10.408033
Slovakia,SVK,2013,9.991239
Slovakia,SVK,2014,10.923372
Slovakia,SVK,2015,10.821376
Slovakia,SVK,2016,10.844739
Slovakia,SVK,2017,11.582122
Slovakia,SVK,2018,11.970449
Slovakia,SVK,2019,12.6514225
Slovenia,SVN,1998,10.137369
Slovenia,SVN,1999,10.668275
Slovenia,SVN,2000,10.639815
Slovenia,SVN,2001,10.667398
Slovenia,SVN,2002,10.560202
Slovenia,SVN,2003,10.539289
Slovenia,SVN,2004,10.502666
Slovenia,SVN,2005,10.653538
Slovenia,SVN,2006,10.811109
Slovenia,SVN,2007,11.04175
Slovenia,SVN,2008,11.33411
Slovenia,SVN,2009,11.215412
Slovenia,SVN,2010,10.576029
Slovenia,SVN,2011,10.532778
Slovenia,SVN,2012,10.146108
Slovenia,SVN,2013,9.988544
Slovenia,SVN,2014,10.45822
Slovenia,SVN,2015,10.764754
Slovenia,SVN,2016,11.483144
Slovenia,SVN,2017,11.675585
Slovenia,SVN,2018,12.013689
Slovenia,SVN,2019,12.352661
Slovenia,SVN,2020,10.672217
Slovenia,SVN,2021,11.650895
South Africa,ZAF,2005,1.6256145
South Africa,ZAF,2006,2.106815
South Africa,ZAF,2007,2.1167052
South Africa,ZAF,2008,2.1298974
South Africa,ZAF,2009,1.9855081
South Africa,ZAF,2010,2.0816867
South Africa,ZAF,2011,2.358737
South Africa,ZAF,2012,2.2805517
South Africa,ZAF,2013,2.1847432
South Africa,ZAF,2014,2.2894394
South Africa,ZAF,2015,2.0241065
South Africa,ZAF,2016,2.1675837
South Africa,ZAF,2017,1.6666311
South Africa,ZAF,2018,1.6864426
South Africa,ZAF,2019,2.5444565
South Korea,KOR,2011,0.8074049
South Korea,KOR,2012,0.83813196
South Korea,KOR,2013,0.8423452
South Korea,KOR,2014,0.7812802
South Korea,KOR,2015,0.54711896
South Korea,KOR,2016,0.5281623
South Korea,KOR,2017,0.5629796
South Korea,KOR,2018,0.634713
South Korea,KOR,2019,0.6872079
South Korea,KOR,2020,0.5092132
Spain,ESP,1996,15.0391245
Spain,ESP,1997,15.55583
Spain,ESP,1998,16.148909
Spain,ESP,1999,17.371319
Spain,ESP,2000,18.901344
Spain,ESP,2001,19.096848
Spain,ESP,2002,20.267685
Spain,ESP,2003,20.269419
Spain,ESP,2004,21.024788
Spain,ESP,2005,22.375134
Spain,ESP,2006,24.546526
Spain,ESP,2007,24.61299
Spain,ESP,2008,24.44517
Spain,ESP,2009,23.755724
Spain,ESP,2010,22.70904
Spain,ESP,2011,22.262037
Spain,ESP,2012,21.740871
Spain,ESP,2013,21.873892
Spain,ESP,2014,23.287346
Spain,ESP,2015,25.000353
Spain,ESP,2016,25.997713
Spain,ESP,2017,26.502565
Spain,ESP,2018,27.750444
Spain,ESP,2019,27.74322
Spain,ESP,2020,23.507189
Spain,ESP,2021,24.09505
Sweden,SWE,2015,2.3453338
Sweden,SWE,2016,2.340927
Sweden,SWE,2017,14.107904
Sweden,SWE,2018,13.963374
Sweden,SWE,2019,13.605479
Sweden,SWE,2020,12.026269
Sweden,SWE,2021,11.426284
Switzerland,CHE,2001,4.650897
Switzerland,CHE,2002,4.43896
Switzerland,CHE,2003,4.5425224
Switzerland,CHE,2004,4.7418065
Switzerland,CHE,2005,4.4827733
Switzerland,CHE,2006,4.4414635
Switzerland,CHE,2007,4.5081425
Switzerland,CHE,2008,4.9880285
Switzerland,CHE,2009,4.7062464
Switzerland,CHE,2010,4.5510073
Switzerland,CHE,2011,4.613836
Switzerland,CHE,2012,4.702505
Switzerland,CHE,2013,4.4137444
Switzerland,CHE,2014,4.4700694
Switzerland,CHE,2015,4.9989524
Switzerland,CHE,2016,4.980352
Switzerland,CHE,2017,5.087741
Switzerland,CHE,2018,5.1559525
Switzerland,CHE,2019,5.1541624
Switzerland,CHE,2020,4.630375
Tajikistan,TJK,2012,1.8852788
Tajikistan,TJK,2013,2.0278711
Tajikistan,TJK,2015,1.9591589
Tajikistan,TJK,2016,1.9483513
Tajikistan,TJK,2017,1.9270567
Tajikistan,TJK,2018,1.9061953
Thailand,THA,2013,29.941677
Thailand,THA,2014,30.029612
Thailand,THA,2015,30.292595
Thailand,THA,2016,31.134293
Turkey,TUR,2012,8.980114
Turkey,TUR,2013,9.702764
Turkey,TUR,2014,9.819226
Turkey,TUR,2015,10.546646
Turkey,TUR,2016,10.38023
Turkey,TUR,2017,10.525056
Turkey,TUR,2018,10.928723
Turkey,TUR,2019,10.996424
Turkey,TUR,2020,8.700258
Turkey,TUR,2021,8.822134
United Arab Emirates,ARE,2017,15.482511
United Arab Emirates,ARE,2018,30.502708
United Arab Emirates,ARE,2019,31.058462
United Arab Emirates,ARE,2020,21.23096
United Arab Emirates,ARE,2021,22.165157
United Kingdom,GBR,2007,23.685665
United Kingdom,GBR,2008,24.209393
United Kingdom,GBR,2009,23.295649
United Kingdom,GBR,2010,22.530256
United Kingdom,GBR,2011,22.706314
United Kingdom,GBR,2012,22.755508
United Kingdom,GBR,2013,22.1454
United Kingdom,GBR,2014,24.763212
United Kingdom,GBR,2015,21.771004
United Kingdom,GBR,2016,21.267164
United States,USA,1998,6.094836
United States,USA,1999,6.1362915
United States,USA,2000,6.0283375
United States,USA,2001,5.7519913
United States,USA,2002,5.78786
United States,USA,2003,5.68919
United States,USA,2004,5.7707915
United States,USA,2005,5.8778157
United States,USA,2006,5.8091793
United States,USA,2007,4.9400325
United States,USA,2008,4.644846
United States,USA,2009,4.0598946
United States,USA,2010,4.2513695
United States,USA,2011,4.438575
United States,USA,2012,4.66141
United States,USA,2013,4.89585
United States,USA,2014,5.0952883
United States,USA,2015,5.121033
United States,USA,2016,5.1454387
United States,USA,2017,5.009627
United States,USA,2018,5.347142
United States,USA,2019,5.0879445
United States,USA,2020,2.6135464
United States Virgin Islands,VIR,2000,19.408682
United States Virgin Islands,VIR,2001,21.199974
United States Virgin Islands,VIR,2002,21.347292
United States Virgin Islands,VIR,2003,21.024576
United States Virgin Islands,VIR,2004,22.106071
United States Virgin Islands,VIR,2005,23.051859
United States Virgin Islands,VIR,2006,23.570604
United States Virgin Islands,VIR,2007,23.684803
United States Virgin Islands,VIR,2008,23.917065
United States Virgin Islands,VIR,2009,23.413727
United States Virgin Islands,VIR,2010,26.405035
United States Virgin Islands,VIR,2011,28.049786
United States Virgin Islands,VIR,2012,26.598587
United States Virgin Islands,VIR,2013,26.568655
United States Virgin Islands,VIR,2014,27.168184
United States Virgin Islands,VIR,2015,26.894794
United States Virgin Islands,VIR,2016,30.978209
United States Virgin Islands,VIR,2017,27.145102
United States Virgin Islands,VIR,2018,23.871292
Uruguay,URY,2008,9.6165285
Uruguay,URY,2009,10.759051
Uruguay,URY,2010,11.244826
Uruguay,URY,2011,12.196461
Uruguay,URY,2012,11.420489
Uruguay,URY,2013,11.238657
Uruguay,URY,2014,12.412801
Uruguay,URY,2015,13.136164
Uruguay,URY,2016,13.123329
Uruguay,URY,2017,14.274423
Uruguay,URY,2018,14.327216
Uruguay,URY,2019,14.846523
